file,usable_nav,nav_decision_basis,has_lat,has_lon,has_latlon,lat_non_nan_count,lon_non_nan_count,has_sentence,n_time1,use_sentence_for_nav,error
L0390-D20170814-T023007-ES60.raw,True,latlon+sentence,True,True,True,5141,5141,True,5141,True,
L0390-D20170814-T025841-ES60.raw,True,latlon+sentence,True,True,True,5078,5078,True,5078,True,
L0390-D20170814-T032654-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0390-D20170814-T035505-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0390-D20170814-T042316-ES60.raw,True,latlon+sentence,True,True,True,5075,5075,True,5075,True,
L0390-D20170814-T045129-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0390-D20170814-T051940-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0390-D20170814-T054752-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0390-D20170814-T061603-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0390-D20170814-T064415-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0390-D20170814-T071226-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0390-D20170814-T074037-ES60.raw,True,latlon+sentence,True,True,True,3174,3174,True,3174,True,
L0391-D20170814-T075827-ES60.raw,True,latlon+sentence,True,True,True,5075,5075,True,5075,True,
L0391-D20170814-T082639-ES60.raw,True,latlon+sentence,True,True,True,5073,5072,True,5073,True,
L0391-D20170814-T085450-ES60.raw,True,latlon+sentence,True,True,True,39,39,True,39,True,
L0392-D20170814-T085508-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0392-D20170814-T092319-ES60.raw,True,latlon+sentence,True,True,True,5073,5072,True,5073,True,
L0392-D20170814-T095130-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0392-D20170814-T101942-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
