file,usable_nav,nav_decision_basis,has_lat,has_lon,has_latlon,lat_non_nan_count,lon_non_nan_count,has_sentence,n_time1,use_sentence_for_nav,error
L0052-D20170610-T051134-ES60.raw,True,latlon+sentence,True,True,True,2,2,True,2,True,
L0052-D20170610-T055624-ES60.raw,True,latlon+sentence,True,True,True,2,2,True,2,True,
L0052-D20170610-T064114-ES60.raw,True,latlon+sentence,True,True,True,2,2,True,2,True,
L0053-D20170610-T070634-ES60.raw,True,latlon+sentence,True,True,True,4192,4192,True,4192,True,
L0053-D20170610-T075124-ES60.raw,True,latlon+sentence,True,True,True,1056,1056,True,1056,True,
L0054-D20170610-T080014-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0054-D20170610-T084503-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0054-D20170610-T092953-ES60.raw,True,latlon+sentence,True,True,True,5274,5274,True,5274,True,
L0055-D20170610-T101351-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0055-D20170610-T105841-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0055-D20170610-T114331-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0055-D20170610-T122821-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0055-D20170610-T131311-ES60.raw,True,latlon+sentence,True,True,True,2188,2188,True,2188,True,
L0056-D20170610-T133127-ES60.raw,True,latlon+sentence,True,True,True,5382,5382,True,5382,True,
L0056-D20170610-T141618-ES60.raw,True,latlon+sentence,True,True,True,454,454,True,454,True,
